team_name,team_id,elo,matches_played
Unknown,9917833,1519.75,5
Unknown,9850095,1519.53,13
Unknown,8733475,1519.41,1
Unknown,9812738,1519.34,3
Unknown,10068191,1519.33,3
Unknown,9982405,1519.15,1
Unknown,9395679,1519.04,1
Unknown,9872269,1518.86,7
PARIVISION,9824702,1518.41,43
Unknown,9956929,1518.33,11
Unknown,9886627,1518.24,3
Unknown,9980846,1518.21,1
Unknown,9972606,1518.01,3
Unknown,9677329,1517.9,3
Unknown,9200965,1517.72,1
Unknown,9956454,1517.7,1
Unknown,9758117,1517.7,1
Unknown,8545250,1517.52,1
Unknown,9628721,1517.37,19
Unknown,10026722,1517.37,16
Unknown,10020223,1517.03,3
Unknown,10061470,1516.79,1
Unknown,10002264,1516.77,1
Unknown,8375757,1516.77,1
Unknown,8945087,1516.74,1
Unknown,7595718,1516.74,1
Unknown,9033260,1516.74,1
Unknown,9867098,1516.74,1
Unknown,9887337,1516.74,1
Unknown,9148992,1516.71,1
Unknown,10074449,1516.7,1
Unknown,9467957,1516.67,1
Unknown,9966276,1516.67,3
Unknown,9579095,1516.61,3
Unknown,9964532,1516.6,1
Unknown,9657787,1516.48,1
Unknown,9622167,1516.41,1
Unknown,10000177,1516.39,5
Unknown,9530058,1516.26,1
Unknown,10019820,1516.24,11
Unknown,9615127,1516.19,3
Unknown,1876168,1516.16,1
Unknown,9784901,1516.14,7
Unknown,10067679,1516.12,5
Unknown,9939448,1516.07,1
Unknown,9989083,1516.02,1
Unknown,9467170,1516.0,1
МГАФК,8936568,1516.0,1
Unknown,9635179,1516.0,1
Unknown,2253901,1516.0,1
Unknown,8414489,1516.0,1
Unknown,9829217,1516.0,1
Unknown,8475064,1516.0,1
Unknown,6092398,1516.0,1
Unknown,1498062,1516.0,1
Unknown,8794672,1516.0,1
Unknown,8309651,1516.0,1
Unknown,9699222,1516.0,1
Unknown,9886012,1516.0,1
Unknown,9815118,1516.0,1
Unknown,9635484,1516.0,1
Unknown,9887340,1516.0,1
Unknown,8675758,1516.0,1
Unknown,9344305,1516.0,1
Unknown,8437732,1516.0,5
Unknown,7532649,1516.0,1
Unknown,6519968,1516.0,1
Unknown,8711504,1516.0,1
Unknown,9799984,1516.0,1
Unknown,9460833,1516.0,1
Unknown,8048700,1516.0,1
Unknown,3787312,1516.0,1
Unknown,10015062,1516.0,1
Unknown,9792913,1516.0,1
Unknown,9104159,1516.0,1
Unknown,9785558,1516.0,1
Unknown,2738555,1516.0,1
Unknown,9080216,1516.0,1
Unknown,9947902,1516.0,1
Unknown,9823905,1516.0,1
Unknown,8373723,1516.0,1
Unknown,8911066,1516.0,1
Unknown,10019802,1516.0,1
Unknown,8357778,1516.0,1
Unknown,9767280,1516.0,1
GodGenesis,2833068,1516.0,1
Unknown,9958045,1516.0,1
Unknown,8936878,1516.0,1
Unknown,9476603,1516.0,1
Unknown,8588996,1516.0,1
Unknown,8047718,1516.0,1
Unknown,9032319,1516.0,1
Unknown,8334580,1516.0,1
Unknown,9989801,1516.0,1
Unknown,9866491,1516.0,1
Unknown,6538598,1516.0,1
Unknown,9554906,1516.0,1
Unknown,9546398,1516.0,1
Unknown,9602146,1516.0,3
Unknown,9775418,1516.0,1
Unknown,9230920,1516.0,1
Unknown,9997052,1516.0,1
Unknown,9736352,1516.0,1
Unknown,2704744,1516.0,1
Unknown,9956456,1515.99,5
Unknown,10060322,1515.98,1
Unknown,10094706,1515.97,1
Unknown,8638911,1515.93,1
Unknown,2918965,1515.84,1
Unknown,1376608,1515.79,3
Unknown,9917512,1515.76,9
Unknown,9965820,1515.67,5
Unknown,10060935,1515.39,1
Unknown,3703112,1515.33,1
Unknown,9532105,1515.3,3
Unknown,9855039,1515.29,11
Unknown,2905180,1515.26,3
Unknown,9302515,1515.26,1
Unknown,9425776,1515.26,1
Unknown,8262678,1515.26,1
Unknown,10047455,1515.26,1
Unknown,10040773,1515.26,1
羊村,1665758,1515.2,1
Unknown,9806441,1515.17,3
Unknown,9547315,1515.17,3
Unknown,8839009,1515.12,1
Unknown,10055023,1515.11,1
Unknown,9054301,1515.04,5
Unknown,9627653,1515.01,1
Unknown,9461694,1514.88,3
Unknown,9819040,1514.81,5
Unknown,9621799,1514.76,1
Unknown,10066960,1514.74,1
Unknown,9395426,1514.69,1
Unknown,9895818,1514.63,51
Unknown,9710978,1514.6,1
Unknown,9736566,1514.56,3
Unknown,9872628,1514.56,3
Unknown,9885816,1514.37,3
Unknown,9973591,1514.23,9
Unknown,9724426,1514.1,11
Unknown,9698155,1514.09,1
Unknown,9530233,1514.06,1
REKONIX,9828897,1513.97,189
Unknown,9966294,1513.89,3
Unknown,9824874,1513.88,5
Unknown,8965331,1513.88,33
Unknown,9894876,1513.85,3
Unknown,9995849,1513.74,5
Unknown,8599281,1513.56,7
Unknown,9964469,1513.4,7
Unknown,9879852,1513.27,230
Unknown,10060655,1513.1,1
Unknown,9006709,1513.09,5
Unknown,9897031,1513.03,21
Unknown,9973656,1513.0,53
Unknown,8526911,1512.89,3
Unknown,9895705,1512.81,5
Unknown,9678368,1512.77,3
Unknown,9957959,1512.57,5
Unknown,10081431,1512.55,21
Unknown,9730490,1512.45,42
Unknown,9878437,1512.39,1
Unknown,9718665,1512.37,146
Unknown,7917893,1512.34,140
Unknown,9444343,1512.32,1
Unknown,9466445,1512.11,15
Unknown,9834154,1512.07,13
Unknown,9878463,1511.86,1
Unknown,8965054,1511.64,30
Unknown,8629315,1511.62,988
Unknown,10040599,1511.36,3
Unknown,10008515,1511.17,3
Unknown,9906210,1511.09,26
Unknown,9860573,1510.42,37
Unknown,9677513,1510.38,22
Unknown,10101462,1510.15,1
Unknown,9939562,1510.14,5
Unknown,9885310,1510.0,122
Unknown,9824920,1509.97,11
Unknown,9467580,1509.89,3
Unknown,9829573,1509.86,1
Unknown,9482420,1509.75,14
Unknown,8360370,1509.58,9
Unknown,10039784,1509.46,8
Unknown,9855778,1509.15,2
Unknown,9844319,1509.03,9
Unknown,10075108,1509.03,8
Unknown,9872350,1508.96,18
Unknown,9563020,1508.95,10
Unknown,9838696,1508.77,14
Unknown,2425246,1508.7,12
Unknown,9844316,1508.37,18
Unknown,10082589,1508.33,6
Unknown,9499252,1508.28,10
Unknown,10021199,1508.07,3
Unknown,9907731,1507.88,2
Unknown,9844276,1507.84,19
Unknown,9949250,1507.79,11
Unknown,10034151,1507.12,2
Unknown,10054177,1506.71,4
Unknown,10040688,1506.55,6
Unknown,9828997,1506.4,16
Unknown,9824681,1506.37,15
Unknown,9997048,1506.09,14
Unknown,9939700,1505.9,2
Unknown,9565375,1505.78,2
Unknown,9467284,1505.7,4
Unknown,10027124,1505.22,10
Unknown,9466524,1505.06,28
Unknown,9645832,1505.01,4
Unknown,10095068,1505.0,2
Unknown,10014596,1504.62,2
Unknown,9938251,1504.47,2
Unknown,8782928,1504.29,4
Unknown,5995305,1504.27,18
Unknown,9860485,1503.92,4
Unknown,10067419,1503.45,2
Unknown,9850962,1503.4,2
Unknown,9839207,1503.25,24
Unknown,9677559,1503.11,2
Unknown,5047804,1502.94,2
Unknown,9132931,1502.91,14
Unknown,9691418,1502.83,4
Unknown,9395453,1502.82,2
Unknown,9927562,1502.74,2
Unknown,9947912,1502.72,17
Unknown,8795152,1502.48,10
Eye Gaming,9476778,1502.45,3
Unknown,9872888,1502.27,20
Unknown,8335298,1502.21,8
Unknown,8629324,1502.19,235
Unknown,9949877,1502.19,2
Unknown,8821529,1502.14,2
Unknown,9426115,1502.11,1023
Unknown,10075107,1502.01,10
Unknown,10055138,1501.91,4
Unknown,7851527,1501.89,2
Unknown,9843926,1501.87,26
Unknown,9825384,1501.69,10
Unknown,10014708,1501.65,34
Unknown,9829857,1501.56,2
Unknown,9845418,1501.52,3
Unknown,10081504,1501.51,2
Unknown,9850213,1501.47,2
Unknown,9256580,1501.43,4
Unknown,9866621,1501.41,2
Unknown,9078940,1501.36,13
Unknown,8419968,1501.22,2
Unknown,9965409,1501.21,2
Unknown,9225431,1501.06,3
Unknown,6236467,1501.01,2
Apex Genesis,9381678,1500.91,2
Unknown,9208688,1500.86,2
Unknown,9938298,1500.83,2
Unknown,10014531,1500.8,4
Unknown,9607959,1500.77,2
Unknown,10040548,1500.76,2
Unknown,9840219,1500.74,2
Unknown,9894764,1500.74,2
Unknown,8993358,1500.74,2
Unknown,7236452,1500.71,2
Unknown,9838591,1500.7,2
Unknown,9894730,1500.65,6
Unknown,8795230,1500.56,10
Unknown,9948492,1500.26,20
Unknown,9679018,1500.25,2
Unknown,9879874,1500.23,2
Unknown,9705369,1500.16,2
Unknown,9829136,1500.15,2
Unknown,10074436,1500.1,2
Unknown,9628395,1500.09,2
Unknown,9861658,1500.03,2
Unknown,8461388,1500.03,2
Unknown,2647338,1500.02,6
Unknown,unknown_radiant,1500.0,0
Unknown,unknown_dire,1500.0,0
Unknown,9692448,1500.0,0
Unknown,9796481,1500.0,0
Unknown,9449607,1500.0,0
Unknown,9838992,1500.0,0
Unknown,9843923,1500.0,0
Unknown,9587034,1500.0,0
Unknown,9844175,1500.0,2
Unknown,9781085,1500.0,0
Unknown,9579700,1500.0,0
Unknown,9766040,1500.0,0
Unknown,28734,1500.0,0
Unknown,9080605,1500.0,0
Unknown,8374853,1500.0,0
Unknown,3721041,1500.0,0
Unknown,9794737,1500.0,0
Unknown,9238698,1500.0,0
Unknown,9878175,1500.0,0
Unknown,9717532,1500.0,0
Unknown,9886611,1500.0,0
Unknown,9309563,1500.0,0
Unknown,9887317,1500.0,0
Unknown,7958674,1500.0,0
Unknown,9886128,1500.0,0
Unknown,8811577,1500.0,0
Unknown,9884091,1500.0,0
Unknown,5165950,1500.0,0
Unknown,8726160,1500.0,0
Unknown,9893496,1500.0,0
Unknown,9828378,1500.0,0
Unknown,2882924,1500.0,0
Unknown,9894912,1500.0,0
Unknown,9885327,1500.0,0
Unknown,9554692,1500.0,0
Unknown,9878768,1500.0,0
Unknown,9879258,1500.0,0
Unknown,9444031,1500.0,0
Unknown,9773046,1500.0,0
Unknown,9352634,1500.0,0
Unknown,9736711,1500.0,0
Unknown,9798332,1500.0,0
Unknown,9895404,1500.0,0
Unknown,7355922,1500.0,0
Unknown,8098818,1500.0,0
Unknown,9710004,1500.0,0
Unknown,7684958,1500.0,0
Unknown,9940323,1500.0,2
Unknown,9498357,1500.0,0
Unknown,9981219,1500.0,0
Unknown,7438469,1500.0,0
Unknown,9989408,1500.0,0
Unknown,8301827,1500.0,0
Unknown,9556121,1500.0,0
Unknown,9240121,1500.0,0
Unknown,10014613,1500.0,0
Unknown,10014545,1500.0,2
Unknown,9938739,1500.0,0
Unknown,10013278,1500.0,0
Unknown,10007924,1500.0,0
Unknown,9607800,1500.0,0
Unknown,9764799,1500.0,0
Unknown,9187627,1500.0,0
Unknown,6211505,1500.0,0
Unknown,9752802,1500.0,0
Unknown,9373898,1500.0,0
Unknown,1381875,1500.0,0
Unknown,10013958,1500.0,0
Unknown,7033623,1500.0,0
Unknown,10020198,1500.0,0
Unknown,9232083,1500.0,0
Unknown,9729195,1500.0,0
Unknown,9838621,1500.0,0
Unknown,10020262,1500.0,0
Unknown,10020263,1500.0,0
Unknown,9834534,1500.0,0
Unknown,9524015,1500.0,0
Unknown,9996253,1500.0,0
Unknown,10020347,1500.0,0
Unknown,10026688,1500.0,0
Unknown,10026818,1500.0,0
Unknown,10019966,1500.0,0
Unknown,10026848,1500.0,0
Unknown,9937425,1500.0,0
Unknown,9980660,1500.0,0
Unknown,8956227,1500.0,0
Unknown,10026911,1500.0,0
Unknown,8455835,1500.0,0
Unknown,9168866,1500.0,0
Unknown,8282954,1500.0,0
Unknown,10027043,1500.0,0
Unknown,5112468,1500.0,0
Unknown,10027207,1500.0,0
Unknown,2477274,1500.0,0
Unknown,5191308,1500.0,0
Unknown,9150498,1500.0,0
Unknown,10026921,1500.0,0
Unknown,9844491,1500.0,0
Unknown,9195110,1500.0,0
Unknown,10027559,1500.0,0
Unknown,9757762,1500.0,0
Unknown,9069467,1500.0,0
Unknown,10041542,1500.0,0
Unknown,10048554,1500.0,0
Unknown,9394011,1500.0,0
Unknown,9989109,1500.0,2
Unknown,9785482,1500.0,2
Unknown,9938148,1500.0,0
Unknown,8745796,1500.0,0
Unknown,765148,1500.0,0
Unknown,9705515,1500.0,0
Unknown,10067854,1500.0,0
Unknown,3333605,1500.0,0
Unknown,9246160,1499.97,2
Unknown,10014334,1499.97,4
Unknown,9812613,1499.96,2
Unknown,9929984,1499.94,2
Unknown,9801128,1499.92,29
Unknown,5834400,1499.85,2
Unknown,9711402,1499.64,2
Unknown,9895999,1499.35,5
Unknown,9988133,1499.3,2
Unknown,8206234,1499.27,2
Unknown,9828764,1499.26,2
Unknown,7877837,1499.26,2
Unknown,9840245,1499.26,2
Unknown,7639789,1499.26,2
Unknown,9843950,1499.26,2
Unknown,9843915,1499.26,2
Unknown,9867084,1499.26,2
Unknown,9886498,1499.26,2
Unknown,9498334,1499.26,2
Unknown,7666141,1499.26,2
Unknown,9753866,1499.26,2
Unknown,10014382,1499.26,2
Unknown,10039832,1499.26,2
Unknown,9939575,1499.26,2
Unknown,10094698,1499.26,2
Unknown,10008212,1499.2,11
Unknown,8436085,1499.17,4
Unknown,10047934,1499.14,2
Unknown,9635581,1498.89,16
Unknown,9691783,1498.75,2
Unknown,9894997,1498.73,2
Unknown,9792401,1498.72,2
Unknown,9395378,1498.72,2
Unknown,9884825,1498.71,2
Unknown,9929661,1498.62,2
Unknown,10094686,1498.62,2
Unknown,9928175,1498.54,6
Unknown,2899475,1498.53,2
Unknown,9664713,1498.44,50
Unknown,10101292,1498.4,2
Unknown,9851005,1498.24,14
Unknown,9928163,1498.13,4
Unknown,9861642,1497.96,21
Unknown,9774239,1497.96,2
Unknown,9454808,1497.89,2
Unknown,9957298,1497.83,4
Unknown,10014579,1497.77,2
Unknown,9504944,1497.61,14
Unknown,9813102,1497.59,18
Unknown,9939126,1497.41,15
Unknown,9855013,1497.25,3
Unknown,9839798,1497.17,12
Unknown,10060654,1496.85,2
Unknown,9608323,1496.84,10
Unknown,9088071,1496.78,23
Unknown,10074564,1496.77,6
Unknown,9425656,1496.76,986
Unknown,877070,1496.59,2
Unknown,9938534,1496.58,6
Unknown,9929768,1496.35,4
Unknown,9691622,1496.35,6
Unknown,10067932,1496.32,2
Unknown,10067366,1496.18,4
Unknown,8680154,1496.09,2
Unknown,9824308,1496.05,29
Unknown,9948273,1495.58,9
Unknown,9844307,1495.4,15
Unknown,10075858,1495.23,3
Unknown,9498970,1494.98,179
Unknown,9894848,1494.88,2
Unknown,9872015,1494.87,4
Unknown,9956943,1494.24,11
Unknown,9736318,1494.06,17
Unknown,9956692,1494.0,6
Unknown,9838811,1493.83,5
Unknown,9823250,1493.65,43
Unknown,9397016,1493.4,67
Unknown,9600331,1493.27,9
Unknown,9956373,1493.18,7
Unknown,9710583,1492.75,11
Unknown,9472228,1492.53,7
Unknown,9860341,1491.59,2
Unknown,9885338,1491.53,29
Unknown,8849817,1491.45,131
Unknown,9980558,1491.36,5
Unknown,10020218,1491.12,1
Unknown,9505989,1491.05,3
Unknown,9751913,1491.03,1
Unknown,9894581,1490.95,3
Unknown,5956925,1490.74,5
Unknown,2447560,1490.71,1
Unknown,10054632,1490.61,1
Unknown,6465449,1490.49,1
Unknown,9834160,1490.47,3
Unknown,9614636,1490.47,1
Unknown,2114225,1490.37,5
Unknown,10020527,1490.34,3
Unknown,9973477,1490.15,303
Unknown,7587797,1490.12,4
Unknown,9729658,1490.05,1
